seed,n,method,kendall_tau_b_to_reference,top1_match,top3_set_match,n_adjacent_ties,mean_adjacent_score_gap
8,2,pass_at_k_4capn,0.9636363636,1,1,0,0.0592
8,2,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.0578
8,2,mg_pass_at_k_4capn,1,1,1,0,0.0578
8,2,elo,0.4909090909,0,0,0,45.97567974
8,2,bradley_terry_davidson,0.9636363636,1,1,0,0.4221939786
8,2,rasch,0.9636363636,1,1,0,0.2970953673
8,2,borda,0.9636363636,1,1,0,232.1
8,2,pagerank,0.9636363636,1,1,0,0.004430163698
8,4,avg,0.9636363636,1,1,0,0.05865
8,4,bayes,0.9636363636,1,1,0,0.0391
8,4,pass_at_k_4capn,0.9636363636,1,1,0,0.0448
8,4,g_pass_at_k_tau_4capn_0.75,0.9636363636,1,1,0,0.0732
8,4,mg_pass_at_k_4capn,0.9636363636,1,1,0,0.0595
8,4,elo,0.6363636364,0,0,0,42.55659516
8,4,bradley_terry_davidson,0.9636363636,1,1,0,0.4354296071
8,4,rasch,0.9636363636,1,1,0,0.3019513198
8,4,borda,0.9636363636,1,1,0,310.15
8,4,pagerank,0.9636363636,1,1,0,0.00444178154
8,8,avg,1,1,1,0,0.058025
8,8,bayes,1,1,1,0,0.04642
8,8,pass_at_k_4capn,0.9636363636,1,1,0,0.04428571429
8,8,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.072
8,8,mg_pass_at_k_4capn,1,1,1,0,0.05882857143
8,8,elo,0.7090909091,0,0,0,53.19943087
8,8,bradley_terry_davidson,1,1,1,0,0.4241658717
8,8,rasch,1,1,1,0,0.3006701915
8,8,borda,1,1,1,0,366.05
8,8,pagerank,1,1,1,0,0.004392382371
8,16,avg,1,1,1,0,0.057425
8,16,bayes,1,1,1,0,0.05104444444
8,16,pass_at_k_4capn,1,1,1,0,0.0434332967
8,16,g_pass_at_k_tau_4capn_0.75,1,1,1,0,0.07095131868
8,16,mg_pass_at_k_4capn,1,1,1,0,0.05824115385
8,16,elo,0.5636363636,0,0,0,44.37239273
8,16,bradley_terry_davidson,1,1,1,0,0.4198895648
8,16,rasch,1,1,1,0,0.3000147364
8,16,borda,1,1,1,0,407.3
