method,L,M,N,wall_time_mean_s,wall_time_std_s,memory_mean_bytes,success_rate
plackett_luce,8,100,4,0.0001171695,1.6715e-06,74944,1
plackett_luce,8,500,1,0.0001607045,9.555e-07,87744,1
plackett_luce,8,500,4,0.000496279,6.628e-06,280896,1
plackett_luce,8,1000,1,0.000423191,2.678e-06,154240,1
plackett_luce,8,1000,4,0.0008969555,1.33925e-05,537472,1
plackett_luce,16,100,1,0.0001954435,5.3985e-06,65008,1
plackett_luce,16,100,4,0.0004316505,6.7515e-06,142096,1
plackett_luce,16,500,1,0.0005504505,4.7185e-06,165104,1
plackett_luce,16,500,4,0.002059947,4.7145e-05,553520,1
plackett_luce,16,1000,1,0.001076164,4.5341e-05,295696,1
plackett_luce,16,1000,4,0.0040630885,1.32215e-05,1064656,1
rasch,4,100,1,0.0627108165,0.0023826905,37524576,1
rasch,4,100,4,0.022239991,0.000140511,37885768,1
rasch,4,500,1,0.634563355,0.037797701,854361360,1
rasch,4,500,4,0.6608741515,0.0301776405,856140816,1
rasch,4,1000,1,2.175215169,0.029918782,3374519840,1
rasch,4,1000,4,2.187968876,0.018611175,3377850080,1
rasch,8,100,1,0.04612389,0.00066943,72750008,1
rasch,8,100,4,0.0416997315,0.0002258715,73510528,1
rasch,8,500,1,1.136901946,0.0537650285,1647268080,1
rasch,8,500,4,1.352092116,0.0121421335,1650680560,1
rasch,8,1000,1,4.943636157,0.413666607,6496934208,1
rasch,8,1000,4,4.189952207,0.2198373625,6503336448,1
rasch,16,100,1,0.1026894575,0.0049281565,150933464,1
rasch,16,100,4,0.0967364435,0.0030392815,152286760,1
rasch,16,500,1,1.95361298,0.004652241,3269437808,1
rasch,16,500,4,2.267955597,0.1275342095,3276115240,1
rasch,16,1000,1,8.954713593,0.4567792455,1.281653674e+10,1
rasch,16,1000,4,9.508458016,0.795102469,1.282908389e+10,1
