method,n,metric,mean,std
mg_pass_at_k_4capn,8,kendall_tau_b_to_reference,0.9890909091,0.01666391162
mg_pass_at_k_4capn,8,top1_match,1,0
mg_pass_at_k_4capn,8,top3_set_match,1,0
mg_pass_at_k_4capn,8,n_adjacent_ties,0,0
mg_pass_at_k_4capn,8,mean_adjacent_score_gap,0.05673314286,0.001720516984
mg_pass_at_k_4capn,16,kendall_tau_b_to_reference,0.9818181818,0.01818181818
mg_pass_at_k_4capn,16,top1_match,1,0
mg_pass_at_k_4capn,16,top3_set_match,1,0
mg_pass_at_k_4capn,16,n_adjacent_ties,0,0
mg_pass_at_k_4capn,16,mean_adjacent_score_gap,0.05683565934,0.001300790382
mg_pass_at_k_4capn,32,kendall_tau_b_to_reference,0.9854545455,0.01781447086
mg_pass_at_k_4capn,32,top1_match,1,0
mg_pass_at_k_4capn,32,top3_set_match,1,0
mg_pass_at_k_4capn,32,n_adjacent_ties,0,0
mg_pass_at_k_4capn,32,mean_adjacent_score_gap,0.05717615851,0.000979362095
pagerank,1,kendall_tau_b_to_reference,0.9709090909,0.01454545455
pagerank,1,top1_match,1,0
pagerank,1,top3_set_match,0.9,0.3
pagerank,1,n_adjacent_ties,0,0
pagerank,1,mean_adjacent_score_gap,0.004371865762,0.0001304576695
pagerank,2,kendall_tau_b_to_reference,0.9781818182,0.01781447086
pagerank,2,top1_match,1,0
pagerank,2,top3_set_match,1,0
pagerank,2,n_adjacent_ties,0,0
pagerank,2,mean_adjacent_score_gap,0.00430909375,0.0001308118864
pagerank,4,kendall_tau_b_to_reference,0.977268557,0.01688225074
pagerank,4,top1_match,1,0
pagerank,4,top3_set_match,1,0
pagerank,4,n_adjacent_ties,0.1,0.3
pagerank,4,mean_adjacent_score_gap,0.004278236152,9.634945027e-05
pagerank,8,kendall_tau_b_to_reference,0.9927272727,0.01454545455
pagerank,8,top1_match,1,0
pagerank,8,top3_set_match,1,0
pagerank,8,n_adjacent_ties,0,0
